league_id,league_name,season,team_id,team_name,rank,points,goal_diff,group,form,status,description,played,wins,draws,losses,goals_for,goals_against,home_played,home_wins,home_draws,home_losses,home_goals_for,home_goals_against,away_played,away_wins,away_draws,away_losses,away_goals_for,away_goals_against
88,Eredivisie,2024,197,PSV Eindhoven,1,79,64,Eredivisie,WWWWW,same,Promotion - Champions League (League phase: ),34,25,4,5,103,39,17,13,3,1,55,15,17,12,1,4,48,24
88,Eredivisie,2024,194,Ajax,2,78,35,Eredivisie,WDLDL,same,Promotion - Champions League (League phase: ),34,24,6,4,67,32,17,13,3,1,38,14,17,11,3,3,29,18
88,Eredivisie,2024,209,Feyenoord,3,68,38,Eredivisie,LWLWW,same,Promotion - Champions League (Qualification: ),34,20,8,6,76,38,17,11,3,3,38,18,17,9,5,3,38,20
88,Eredivisie,2024,207,Utrecht,4,64,17,Eredivisie,DDLWW,same,Promotion - Europa League (Qualification: ),34,18,10,6,62,45,17,9,3,5,28,24,17,9,7,1,34,21
88,Eredivisie,2024,201,AZ Alkmaar,5,57,21,Eredivisie,DWWWD,same,Promotion - Eredivisie (Conference League - Play Offs: ),34,16,9,9,58,37,17,8,4,5,30,17,17,8,5,4,28,20
88,Eredivisie,2024,415,Twente,6,54,13,Eredivisie,LLWWL,same,Promotion - Eredivisie (Conference League - Play Offs: ),34,15,9,10,62,49,17,10,4,3,36,21,17,5,5,7,26,28
88,Eredivisie,2024,410,GO Ahead Eagles,7,51,2,Eredivisie,LWDLD,same,Promotion - Europa League (League phase: ),34,14,9,11,57,55,17,10,4,3,32,22,17,4,5,8,25,33
88,Eredivisie,2024,413,NEC Nijmegen,8,43,5,Eredivisie,WWWDL,same,Promotion - Eredivisie (Conference League - Play Offs: ),34,12,7,15,51,46,17,6,6,5,36,24,17,6,1,10,15,22
88,Eredivisie,2024,210,Heerenveen,9,43,-15,Eredivisie,WLLWW,same,Promotion - Eredivisie (Conference League - Play Offs: ),34,12,7,15,42,57,17,10,6,1,30,15,17,2,1,14,12,42
88,Eredivisie,2024,193,PEC Zwolle,10,41,-8,Eredivisie,WWDWL,same,,34,10,11,13,43,51,17,7,4,6,24,20,17,3,7,7,19,31
88,Eredivisie,2024,205,Fortuna Sittard,11,41,-17,Eredivisie,DDWLW,same,,34,11,8,15,37,54,17,8,1,8,17,24,17,3,7,7,20,30
88,Eredivisie,2024,426,Sparta Rotterdam,12,39,-4,Eredivisie,LDWLD,same,,34,9,12,13,39,43,17,4,6,7,20,24,17,5,6,6,19,19
88,Eredivisie,2024,202,Groningen,13,39,-13,Eredivisie,LDLWW,same,,34,10,9,15,40,53,17,8,6,3,27,14,17,2,3,12,13,39
88,Eredivisie,2024,206,Heracles,14,38,-21,Eredivisie,LLWLL,same,,34,9,11,14,42,63,17,6,7,4,29,27,17,3,4,10,13,36
88,Eredivisie,2024,203,NAC Breda,15,33,-24,Eredivisie,DLLLD,same,,34,8,9,17,34,58,17,6,6,5,21,22,17,2,3,12,13,36
88,Eredivisie,2024,195,Willem II,16,26,-22,Eredivisie,DLLDL,same,Eredivisie (Relegation),34,6,8,20,34,56,17,3,3,11,20,27,17,3,5,9,14,29
88,Eredivisie,2024,417,Waalwijk,17,25,-30,Eredivisie,WLWLL,same,Relegation - Eerste Divisie,34,6,7,21,44,74,17,5,3,9,25,31,17,1,4,12,19,43
88,Eredivisie,2024,419,Almere City FC,18,22,-41,Eredivisie,DDLDL,same,Relegation - Eerste Divisie,34,4,10,20,23,64,17,2,5,10,13,36,17,2,5,10,10,28
